shoulder_pitch_joint,shoulder_roll_joint,shoulder_yaw_joint,elbow_pitch_joint,torque_shoulder_pitch_joint,torque_shoulder_roll_joint,torque_shoulder_yaw_joint,torque_elbow_pitch_joint
-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,-0.7853981633974483,7.133849067031406e-12,3.251066083009846e-12,-5.88418203051333e-14,1.20570220474292e-13
-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,-0.6108652381980153,-1.5631940186722204e-12,-2.2521984277545926e-12,-1.8252066524837574e-13,1.7075230118734908e-13
-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,-0.4363323129985824,4.405364961712621e-12,-1.29396493520062e-13,2.220446049250313e-16,2.8910207561239076e-13
-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,-0.26179938779914946,-3.211653165635653e-12,1.5304424394457783e-12,-2.078337502098293e-13,1.454392162258955e-13
-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,-0.08726646259971649,-1.9610979506978765e-12,1.1984024883560096e-12,-1.1124434706744069e-13,2.651212582804874e-13
-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,0.08726646259971649,-2.4158453015843406e-12,-3.707978368794329e-12,6.794564910705958e-14,-1.8807178037150152e-13
-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,0.26179938779914935,-3.780087354243733e-12,1.2961853812498703e-12,2.9976021664879227e-14,9.525713551283843e-14
-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,0.43633231299858233,-7.418066161335446e-12,2.5118795932144167e-13,7.327471962526033e-14,-8.01581023779363e-14
-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,0.6108652381980153,-2.0179413695586845e-12,-1.779687508474126e-12,3.8413716652030416e-14,-1.2168044349891716e-13
-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,0.7853981633974483,6.906475391588174e-12,2.7635671528969397e-12,6.317169010117141e-14,-8.260059303211165e-14
-1.5707963267948966,-1.5707963267948966,-1.2217304763960306,-0.7853981633974483,7.73070496506989e-12,1.3713474800169934e-12,1.1901590823981678e-13,1.5631940186722204e-13
-1.5707963267948966,-1.5707963267948966,-1.2217304763960306,-0.6108652381980153,-5.144329406903125e-12,-2.440714297335944e-12,-7.194245199571014e-14,2.4158453015843406e-13
-1.5707963267948966,-1.5707963267948966,-1.2217304763960306,-0.4363323129985824,2.8421709430404007e-13,-6.625811010962934e-13,8.387734951043058e-14,-3.9968028886505635e-14
-1.5707963267948966,-1.5707963267948966,-1.2217304763960306,-0.26179938779914946,4.661160346586257e-12,-1.0800249583553523e-12,3.552713678800501e-14,6.075140390748857e-13
-1.5707963267948966,-1.5707963267948966,-1.2217304763960306,-0.08726646259971649,2.4726887204451486e-12,-2.4868995751603507e-12,8.171241461241152e-14,8.526512829121202e-14
-1.5707963267948966,-1.5707963267948966,-1.2217304763960306,0.08726646259971649,-3.126388037344441e-13,2.8421709430404007e-12,-5.3290705182007514e-14,2.1316282072803006e-14
-1.5707963267948966,-1.5707963267948966,-1.2217304763960306,0.26179938779914935,4.632738637155853e-12,7.318590178329032e-13,-4.263256414560601e-14,-2.4868995751603507e-14
-1.5707963267948966,-1.5707963267948966,-1.2217304763960306,0.43633231299858233,3.126388037344441e-13,-9.610090501155355e-13,-2.9032332093947844e-14,1.829647544582258e-13
-1.5707963267948966,-1.5707963267948966,-1.2217304763960306,0.6108652381980153,-5.5138116294983774e-12,-2.4282797994601424e-12,5.773159728050814e-14,5.684341886080802e-14
-1.5707963267948966,-1.5707963267948966,-1.2217304763960306,0.7853981633974483,7.73070496506989e-12,1.3500311979441904e-12,2.6645352591003757e-14,-1.4210854715202004e-14
